"","retention_time","c_mean","n_mean","l_mean","ln_mean","z_mean","zn_mean","zl_mean","zln_mean","z_fvalue","l_fvalue","n_fvalue","zl_fvalue","zn_fvalue","ln_fvalue","zln_fvalue","significant05?","significant01?","main_significant05?","main_significant01?"
"1761","23.22128333",7.435,7.09,6.721,6.803,7.594,6.602,7.052,6.798,0.980002932070815,0.0752407023668834,0.0619244266670969,0.389069098735787,0.181131962231424,0.151873496979039,0.694390411604226,FALSE,FALSE,FALSE,FALSE
"1762","23.22158333",5.69,6.221,5.57,5.447,6.709,6.019,6.285,5.928,0.0174485995971298,0.070695925213605,0.475000426121343,0.677312197768513,0.0723545531005177,0.641979153182571,0.229744441490389,TRUE,FALSE,TRUE,FALSE
"1763","23.22176667",8.469,8.553,8.107,8.409,8.538,7.889,8.273,8.092,0.30435280314832,0.406517299118595,0.586568288846812,0.567466110085315,0.097570482956785,0.374011066409074,0.739942372792083,FALSE,FALSE,FALSE,FALSE
"1764","23.22188333",6.408,6.15,5.8,6.143,6.964,5.594,6.592,6.148,0.413035439612681,0.51585540409843,0.0535004646234991,0.355353423147333,0.0236861752348129,0.0845434709982684,0.704605403596187,TRUE,FALSE,FALSE,FALSE
"1765","23.22188333",5.222,5.29,4.933,4.886,5.614,4.848,5.764,5.115,0.258062576985686,0.545975631341222,0.0942765820254191,0.168730196848833,0.0599564253636624,0.988159064151292,0.759264088468054,FALSE,FALSE,FALSE,FALSE
"1766","23.22188333",8.645,8.805,7.996,8.217,8.935,7.948,8.212,8.13,0.6715347021553,0.0619199595829583,0.483947914784854,0.45712793964142,0.111933661006463,0.342155850392999,0.382214948311146,FALSE,FALSE,FALSE,FALSE
"1767","23.22188333",9.246,9.424,8.921,9.161,9.43,9.244,9.155,8.831,0.915498044613901,0.120285992647918,0.964278591393275,0.846267728958789,0.285804995322528,0.93968923625161,0.814791210780026,FALSE,FALSE,FALSE,FALSE
"1768","23.22584167",7.628,7.772,6.912,7.038,7.88,6.783,6.547,7.098,0.368269738585984,0.0147731129102566,0.687941211251987,0.549851521253495,0.292773296104623,0.110883326846882,0.0842042696174279,TRUE,FALSE,TRUE,FALSE
"1769","23.22983333",8.001,7.755,7.421,7.592,7.808,7.205,7.749,7.573,0.453878688675027,0.432448047340434,0.223398066551678,0.113665871089718,0.258721869453002,0.206471779274408,0.988648942198956,FALSE,FALSE,FALSE,FALSE
"1770","23.23655833",6.865,6.777,5.693,6.478,7.058,6.415,6.485,6.359,0.495366422045907,0.00869453154418496,0.989975445102504,0.302528603847281,0.0597728747512662,0.080601209847941,0.653618076264147,TRUE,TRUE,TRUE,TRUE
"1771","23.247425",5.829,5.958,5.353,4.208,5.688,5.401,5.546,5.579,0.311525508378801,0.0102150619906139,0.157219154675407,0.00913538815168445,0.398385546415264,0.226502950672816,0.0698729662285314,TRUE,TRUE,TRUE,FALSE
"1772","23.25111667",6.9,6.956,5.974,6.37,6.659,6.497,6.414,6.48,0.924375567883783,0.132123061154229,0.722478265693379,0.300992129828534,0.632212656583458,0.631241248613856,0.925711595778479,FALSE,FALSE,FALSE,FALSE
"1773","23.25115",5.409,5.685,5.204,4.46,5.639,5.212,5.807,5.468,0.25166434564292,0.29422516127492,0.304750109802863,0.0991039668158404,0.780706585842409,0.368308065019514,0.319973662120147,FALSE,FALSE,FALSE,FALSE
"1774","23.30436667",6.955,7.375,6.89,7.498,7.334,7.333,6.202,7.119,0.720880246198318,0.397705445635905,0.153068992008373,0.291641122795006,0.863176447991518,0.392813787695951,0.557047202941802,FALSE,FALSE,FALSE,FALSE
"1775","23.3117",5.228,5.244,4.286,4.297,5.199,4.977,4.821,5.287,0.226394562784003,0.076505848051464,0.794389814419038,0.0849534197980652,0.896357015718954,0.556335857550669,0.525719702161371,FALSE,FALSE,FALSE,FALSE
"1776","23.57805",11.842,12.218,11.595,12.009,12.063,11.895,11.387,11.128,0.43273659193856,0.181970237581956,0.786156907769589,0.453303896644521,0.394467483735523,0.974192224368583,0.927505410178892,FALSE,FALSE,FALSE,FALSE
"1777","23.58950833",7.314,7.817,7.004,7.237,7.059,7.429,6.618,7.092,0.283764829620123,0.0993395441464523,0.102060839732843,0.89036519269692,0.919315440916443,0.8426892683494,0.69409957511125,FALSE,FALSE,FALSE,FALSE
"1778","23.59508333",6.331,6.567,5.836,5.546,6.554,6.127,6.193,5.863,0.619041874562706,0.0178556545329255,0.419276407580403,0.348044149829191,0.438597481439349,0.61252890612146,0.498407385393718,TRUE,FALSE,TRUE,FALSE
"1779","23.6052",8.194,8.395,7.103,7.444,7.74,7.42,8.318,7.985,0.900253467118172,0.391765739934179,0.933040299406883,0.0204311956002261,0.361406113738691,0.916181840861242,0.907657320356103,TRUE,FALSE,FALSE,FALSE
"1780","23.60788333",8.342,8.803,8.128,7.854,8.609,8.119,7.148,7.489,0.267397974623827,0.0244701118202844,0.956256256960776,0.528174409635275,0.752547846318233,0.99767300827676,0.254227216964826,TRUE,FALSE,TRUE,FALSE
"1781","23.649875",7.994,7.761,7.444,7.47,7.997,6.839,7.857,7.348,0.395466345374884,0.479699306058459,0.0468974315192391,0.180688017829864,0.0907073154982072,0.322326413544571,0.661560873186613,TRUE,FALSE,TRUE,FALSE
"1782","23.692425",6.587,7.66,6.825,7.095,7.46,7.691,7.188,7.471,0.0829388693338591,0.443590903221756,0.0615761353252912,0.83601084670736,0.400350622907693,0.419605946498414,0.391306570260174,FALSE,FALSE,FALSE,FALSE
"1783","23.69995",7.343,7.942,7.238,7.673,7.932,8.062,7.745,7.335,0.352147760997433,0.162828761168605,0.375386154224526,0.485185139321102,0.192860558169981,0.475702100873011,0.695291120912828,FALSE,FALSE,FALSE,FALSE
"1784","23.70001667",5.519,6.12,5.022,5.634,5.726,5.745,5.5,5.744,0.511067039455943,0.109563263806911,0.0426397807959227,0.326498369173629,0.192533807361607,0.764913228961485,0.773706333285376,TRUE,FALSE,TRUE,FALSE
"1785","23.70690833",5.982,7.187,6.193,6.393,7.019,7.177,5.887,6.766,0.134398735789491,0.0428927835952206,0.0145189166723499,0.328974422291451,0.627172124397949,0.677249894214387,0.0679921350417253,TRUE,FALSE,TRUE,FALSE
"1786","23.70728333",8.308,9.741,8.756,8.652,9.507,9.286,8.642,9.115,0.293549677292542,0.197440868786965,0.204656134700913,0.753412047657959,0.342446595919428,0.422625540292791,0.0717265244453811,FALSE,FALSE,FALSE,FALSE
"1787","23.7076",6.736,8.008,7.002,7.57,7.339,7.748,7.153,7.148,0.888448650248145,0.367747075123662,0.0282947490640818,0.477231702799262,0.182477847029646,0.275197842030367,0.778926783931377,TRUE,FALSE,TRUE,FALSE
"1788","23.71515",6.318,7.482,6.518,6.718,7.296,7.315,6.449,7.044,0.256177302524863,0.172781202924543,0.0903400101090116,0.634675574553863,0.469000376672863,0.670625397715176,0.176238693371642,FALSE,FALSE,FALSE,FALSE
"1789","23.726025",7.992,9.272,8.548,8.734,9.32,9.359,8.442,9.05,0.158181992948615,0.442085831749843,0.121306597035292,0.361808512137856,0.497410705635646,0.632564752207375,0.20592338264734,FALSE,FALSE,FALSE,FALSE
"1790","23.74506667",6.165,6.904,5.793,6.293,6.843,7.095,5.78,6.781,0.0619422519960571,0.0167575083666015,0.00827840044192377,0.717773190880605,0.934281790810097,0.602966344882438,0.260568728651179,TRUE,TRUE,TRUE,TRUE
"1791","23.745575",6.499,6.806,5.582,6.549,6.557,6.585,6.065,6.593,0.658051385421679,0.168433939841855,0.111184086121851,0.538192828413929,0.500373797616625,0.311048374110833,0.890395238587909,FALSE,FALSE,FALSE,FALSE
"1792","23.74923333",9.171,9.781,9.024,9.203,9.449,9.729,9.31,9.644,0.249857607734064,0.310839658984693,0.114744660872001,0.577789933200903,0.839633193116175,0.652818671669656,0.589060401385589,FALSE,FALSE,FALSE,FALSE
"1793","23.77588333",6.417,5.416,5.058,5.213,6.015,5.616,5.147,5.938,0.592453807595393,0.186929683750163,0.698457656679088,0.425016710469278,0.465331185916666,0.126550911062632,0.983180670831744,FALSE,FALSE,FALSE,FALSE
"1794","23.8356",5.694,5.366,5.371,4.826,5.578,5.821,5.074,5.494,0.363671372485175,0.0934542025172744,0.749168669877776,0.8896375180825,0.11607459295074,0.948031973692548,0.67970205335411,FALSE,FALSE,FALSE,FALSE
"1795","23.85171667",8.001,7.86,7.184,7.871,7.451,7.637,7.303,7.725,0.535337553591636,0.479682090146125,0.317173257483102,0.506026668931431,0.974619689154372,0.347403951538313,0.611672474442932,FALSE,FALSE,FALSE,FALSE
"1796","23.86299167",6.128,5.752,5.501,5.447,5.757,5.644,5.736,5.892,0.850366959363274,0.510711712195287,0.733235125048525,0.278126174356009,0.690101640123392,0.59414448184724,0.961378246105849,FALSE,FALSE,FALSE,FALSE
"1797","24.09466667",7.385,7.306,6.238,6.592,6.772,7.111,6.502,6.945,0.955419035917602,0.072102394354289,0.381607933623757,0.243493331971724,0.690788368550818,0.65638380939385,0.792698414621057,FALSE,FALSE,FALSE,FALSE
"1798","24.10211667",5.744,5.956,5.111,5.374,5.161,6.346,5.969,5.741,0.371222199637553,0.302118570857129,0.140114746321605,0.236192069066297,0.556705360864102,0.244578300777823,0.18395506096453,FALSE,FALSE,FALSE,FALSE
"1799","24.10971667",10.168,10.349,9.668,10.094,10.027,9.925,9.578,10.026,0.511577270409779,0.268142267910819,0.318756694018015,0.62876952747236,0.72930214722953,0.406791455331399,0.742737676760424,FALSE,FALSE,FALSE,FALSE
"1800","24.10980833",6.403,6.226,5.338,5.359,5.81,5.706,6.065,5.874,0.960683043569504,0.151617288922627,0.780595565682184,0.0463066789525437,0.910274288201532,0.911132007483302,0.803748597051035,TRUE,FALSE,FALSE,FALSE
"1801","24.1169",6.542,6.438,5.107,5.408,6.123,5.995,6.33,6.007,0.418469450635471,0.0297187188699267,0.94939567200511,0.0198000305855138,0.564882620441504,0.821189421764057,0.583185735281542,TRUE,FALSE,TRUE,FALSE
"1802","24.11735",5.405,5.404,4.697,5.16,5.359,5.556,5.433,5.436,0.314374540146187,0.350714227166605,0.507317745296599,0.434991987342275,0.829808045410506,0.782565533066811,0.556237232752564,FALSE,FALSE,FALSE,FALSE
"1803","24.11735833",8.188,8.289,7.454,7.329,7.469,7.626,7.553,7.657,0.491808404256511,0.235220909034651,0.816068417345262,0.191477357135685,0.832962352440571,0.834117825003581,0.900128941370957,FALSE,FALSE,FALSE,FALSE
"1804","24.11736667",5.834,5.551,4.719,5.481,5.393,5.497,6.052,5.674,0.429086810883992,0.642887026092761,0.72563078567774,0.0911587163016585,0.53325535327584,0.562392661035487,0.180166839261294,FALSE,FALSE,FALSE,FALSE
"1805","24.11738333",9.004,8.757,8.006,8.492,8.038,8.081,7.806,8.169,0.117841597893353,0.292973809547904,0.615772055754816,0.380463144424173,0.921643265046793,0.416681433277282,0.754775461734212,FALSE,FALSE,FALSE,FALSE
"1806","24.1174",6.84,6.806,5.843,6.218,6.4,6.693,6.488,6.51,0.729467099830184,0.132668557635748,0.508860064646701,0.207315447583459,0.996527638740644,0.876098982305983,0.555557057025496,FALSE,FALSE,FALSE,FALSE
"1807","24.12068333",7.031,6.886,6.126,6.119,6.339,6.635,6.418,6.211,0.629889776522618,0.0765431908876672,0.971855916261683,0.276642553881859,0.800685539774022,0.781579370167326,0.587836521910928,FALSE,FALSE,FALSE,FALSE
"1808","24.12363333",7.314,6.519,5.811,6.676,6.702,6.767,6.208,6.737,0.849803075894968,0.156010113110682,0.616035695838018,0.477521494103481,0.707784791565273,0.0884547212738651,0.347961522870223,FALSE,FALSE,FALSE,FALSE
"1809","24.12396667",7.866,7.873,6.984,7.397,7.264,7.551,7.149,7.476,0.600612068877126,0.186039566988661,0.352594071317189,0.309318841125717,0.869529152724261,0.686516407737374,0.752903309241561,FALSE,FALSE,FALSE,FALSE
"1810","24.124",7.387,7.12,5.967,6.533,6.636,6.938,6.58,6.639,0.89513295223535,0.0657740163426953,0.554893051561735,0.212537266039884,0.945517515167856,0.615254077807762,0.410152042388591,FALSE,FALSE,FALSE,FALSE
"1811","24.12445",8.693,8.12,7.112,7.28,7.964,7.642,7.651,7.979,0.939538493082351,0.0396918059519633,0.754185053359714,0.0341024668035456,0.77071881756218,0.234880804833349,0.937028808749148,TRUE,FALSE,TRUE,FALSE
"1812","24.12445833",9.362,9.06,8.281,8.908,8.545,8.474,7.747,8.347,0.131358161507818,0.176994546629118,0.599982996241691,0.795633460330421,0.931443793187857,0.289173496383002,0.865164654822639,FALSE,FALSE,FALSE,FALSE
"1813","24.124475",7.349,7.163,5.994,6.492,6.75,6.885,6.5,6.796,0.988833671408562,0.0674267074244725,0.529890397470274,0.186798638907893,0.936990678402516,0.496882054254909,0.684421409795274,FALSE,FALSE,FALSE,FALSE
"1814","24.124925",6.542,6.14,5.158,5.593,5.839,5.691,6.046,6.124,0.861465280725809,0.27679965391617,0.953822007371094,0.0485156316019166,0.920028403832174,0.393642571609131,0.634894864296159,TRUE,FALSE,FALSE,FALSE
"1815","24.12493333",6.761,6.492,5.586,5.904,5.915,6.565,6.305,6.48,0.651444319809204,0.195907498307787,0.400104089491184,0.0838803428058103,0.479271702230308,0.882312051991726,0.367833482653371,FALSE,FALSE,FALSE,FALSE
"1816","24.12495",7.017,6.969,6.233,6.545,6.818,6.787,6.259,6.84,0.929475271649397,0.12251945613018,0.461785410684003,0.457235220334037,0.83503202993902,0.364643929016464,0.811543005902915,FALSE,FALSE,FALSE,FALSE
