Sample,CON13,CON14,CON15,CON16,CON17,CON18,L13,L14,L15,L16,L17,L18,LN13,LN14,LN15,LN16,LN17,LN18,N13,N14,N15,N16,N17,N18,Z13,Z14,Z15,Z16,Z17,Z18,ZL15,ZL16,ZL17,ZL18,ZLN13,ZLN14,ZLN15,ZLN16,ZLN17,ZLN18,ZN13,ZN14,ZN15,ZN16,ZN17,ZN18
11.300217,29032.664260,10824.169820,43772.418680,20014.834020,34494.183340,4654.834148,23070.845030,16535.241460,30261.972450,27751.634930,18232.656870,38449.719410,8193.874519,15161.933640,13432.755150,17938.451420,27223.514550,23211.597030,11678.286380,10660.070940,9103.427511,14988.923810,1060029.762000,20920.240860,14853.245810,17198.896930,15202.080840,26283.016100,34518.619750,64647.011700,26532.145340,16292.172080,29608.508980,43160.433140,24224.896900,18810.098410,26150.120380,53.286868,64489.040740,999029.752400,15730.725240,23419.623630,17422.817550,873.971141,331819.100600,38052.371330
11.301442,3752.637747,595.176894,12799.640950,2890.803579,6378.122329,42398.980980,1651.219850,1541.865261,9502.726484,3419.508608,2716.729517,8486.409075,5598.103864,1840.467908,2720.133711,5279.731220,2762.221846,4565.787197,733.919242,437.660364,2543.841578,3385.342609,82067.740610,2069.874392,790.854515,4065.524577,1794.752171,4668.958422,6135.407870,19065.547660,3732.342611,2795.003784,2720.334519,15555.646900,1097.536882,2431.831337,2033.432966,62.939561,27902.017010,108484.348200,2668.751101,3623.773820,4965.775599,3724.314553,43581.362130,4759.361003
11.302658,32906.400110,20796.196830,31150.425570,33821.324930,67645.501090,83066.733540,31614.302920,26252.891060,42995.563710,34355.514530,32919.903470,62303.086850,66611.309460,56565.459770,45066.317660,33795.768650,30279.692700,43742.705260,39474.936110,32235.541920,25638.490210,34598.478530,1385609.197000,60402.121450,45688.115020,36856.198200,20954.269560,35187.874220,33714.947340,66694.520600,55940.127920,51505.629020,43495.407610,94722.609860,17950.633310,25665.329860,63526.758320,44680.931660,114311.613700,660545.489200,50896.706440,56848.331830,28763.652250,42845.973790,277741.736000,47884.741390
11.302683,262360.506900,243418.610700,384349.548900,145088.096900,275014.201200,357110.451900,228894.264000,348258.110400,271825.745000,187611.895500,218683.804900,241568.516600,251289.107500,259454.050700,230713.858100,282777.838500,173628.197800,245757.459300,228997.961700,225378.395800,219582.651000,249539.005800,1430942.841000,239479.946100,220754.166500,260408.608000,146395.673900,236293.565000,135560.722800,236175.733400,379366.848500,273105.530600,173451.345100,343036.465900,241322.111600,264674.139100,280491.140000,307359.851500,407350.153100,804275.534400,227693.748000,263646.150000,245999.009900,230026.197000,624146.298800,178966.081000
11.303442,7289.507205,5183.716866,15854.658480,7604.270344,20991.486390,52855.639460,10077.624820,7933.890760,19163.094110,19715.485640,5014.313767,22233.221770,9238.308683,6437.915072,2865.094152,5957.400766,10033.273590,8364.346188,12906.195020,11479.993810,4194.956326,15076.898560,853268.280300,15036.455890,9028.834495,11223.008420,15924.769640,6193.839829,7531.424580,36281.479430,18251.796330,3626.886338,6220.833686,55165.163310,10621.779630,4691.601971,16522.320590,13813.556420,14319.002890,522579.501600,8996.696058,10933.405340,4829.157512,12197.601920,115113.262900,7934.176028
11.304308,9767.879760,1091.898209,26887.597310,4517.364504,82.304471,50075.644280,5822.090941,7498.906243,7142.916291,10243.095730,7616.638852,3573.375241,5746.965218,4658.796727,26.651689,817.993899,4008.132947,10201.289450,3652.226913,5291.339822,2793.049813,10548.556590,940776.566900,11737.968140,1746.816650,7668.772356,5821.575676,5077.162249,6295.263485,33428.430610,14681.879200,6029.015797,11246.107230,12857.247410,565.430602,2421.591818,11278.316920,58.843804,31964.823120,755928.650700,4374.037966,6816.208397,4378.547960,2559.998805,58903.800820,7010.032419
11.305575,1721.674364,491.830080,6028.431258,1681.598718,5911.433201,32868.001490,1337.272659,1499.247521,5292.604609,1838.023992,1873.929940,6965.232817,1999.283599,1339.299879,746.197461,7581.655758,1287.524848,4795.764353,880.780703,994.702158,1181.406095,2585.576725,134031.011200,2830.274866,646.340177,2039.144172,1184.228272,2839.621377,3134.888942,15510.514800,7443.997610,1451.800225,3632.996436,25245.277170,1202.730204,1198.022094,3616.354331,3328.834951,29965.128400,248927.331400,1712.408524,1746.342624,1266.466413,1568.127760,65897.888730,3191.800685
11.307550,12638.791040,3719.628929,20404.318790,7768.779015,9358.368260,11666.332260,5085.840126,6179.457340,12345.827330,10281.206140,8348.269952,12968.006580,12575.981550,9001.262227,5553.362667,12775.440270,4998.849196,10682.126040,8313.607488,7670.081107,7676.762336,11096.226050,896431.979000,10056.871450,6367.004618,8153.239976,6326.424795,25295.501000,14849.190660,27223.101450,28714.934890,14818.713920,13251.770500,35904.609540,9430.018271,9015.375469,21315.406910,54.805897,75950.167280,644687.900300,5805.977311,8314.727001,11083.471260,5729.612621,107952.348900,9439.985109
11.309642,4056.197473,897.386408,16948.341760,1984.341829,13209.470510,43267.374560,1610.436282,1787.223011,7082.185603,10442.586570,3329.547206,6421.773967,2728.048742,1764.534665,923.882213,840.984468,2639.572710,5234.283405,1343.169182,1439.833620,1203.472754,3530.399986,406900.293800,3516.176724,1017.422564,3398.462111,1183.310385,4793.864921,3163.159386,30204.771090,8533.433868,4005.923936,3097.843888,27770.038000,1764.680284,1914.089655,6517.205897,61.797779,33181.010550,281336.683900,2807.537516,1728.649339,2314.346278,3085.180027,73953.992700,5181.654498
11.310333,7571.004645,5543.200146,18512.625000,8933.002598,13377.630490,8224.645993,15607.319640,6920.872019,12524.070300,6764.822399,12890.343010,12643.223000,15772.331850,836.193587,3670.594494,6330.009559,9604.613457,7154.551653,6363.805046,4020.448309,12856.384320,3472.540569,249580.116900,16866.933220,2911.103451,6024.161403,5499.117171,9231.069491,10963.959450,24086.507430,16702.452170,12595.930320,13976.727830,37433.627780,8178.130125,1368.557256,3926.322806,10596.035810,36028.152520,245167.251500,4387.874191,5172.253891,4399.086612,8121.920265,52778.829900,16907.850660
